duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
102,icmp,other,SF,67435,87313,0,7.7513,2.7135,1.9872,6.233,0,6.3641,0,8.9609,2.2211,2.5178,2.3956,6.3231,0.1659,0,0,74,509,0.6919,0.5683,0.5026,0.9539,0.3851,0.9901,0.8101,470,152,0.0373,0.5314,0.0785,0.7146,0.7578,0.4735,0.8565,0.6433
435,icmp,private,SF,56886,10627,0,9.395,8.2874,0.0552,3.309,0,3.1436,1,3.18,1.1987,4.9725,1.4489,6.3353,5.1209,1,1,112,472,0.652,0.0937,0.5769,0.9149,0.8511,0.1401,0.8671,142,185,0.8226,0.5406,0.0254,0.6602,0.0144,0.1732,0.6587,0.4583
860,icmp,ftp_data,REJ,66803,8792,1,8.9483,3.5675,8.1546,0.6356,0,5.0857,0,1.1005,3.3762,3.0088,4.8945,5.3577,2.265,0,0,455,98,0.2243,0.3677,0.4925,0.3702,0.3169,0.5183,0.9132,91,62,0.3602,0.6374,0.9626,0.2799,0.1161,0.4339,0.1629,0.5456
270,icmp,domain_u,REJ,31551,73969,0,5.979,2.8093,7.0686,3.1098,0,9.0757,0,2.2794,9.4291,2.8484,9.8565,0.9029,6.4517,0,0,419,152,0.7122,0.2652,0.1952,0.0155,0.1695,0.8774,0.5113,353,189,0.1271,0.7261,0.836,0.9549,0.046,0.3985,0.0706,0.9415
106,tcp,http,S0,11394,43001,0,9.2187,5.427,7.2901,3.2518,0,2.4929,0,4.2711,3.232,0.3689,2.4206,8.353,1.7437,0,0,421,348,0.2372,0.244,0.7225,0.9283,0.5568,0.7408,0.5015,321,124,0.5222,0.9759,0.696,0.7379,0.0407,0.6159,0.6424,0.3861
71,icmp,ftp_data,RSTR,69092,76552,0,0.8849,1.4092,7.7127,7.2961,0,4.1038,0,8.1801,5.1879,6.0956,6.7214,3.2078,6.9094,0,0,103,401,0.3254,0.973,0.2808,0.4282,0.9362,0.697,0.7983,287,149,0.77,0.5163,0.409,0.5544,0.8555,0.6351,0.0265,0.9612
700,udp,private,RSTR,3890,23897,0,1.9598,8.022,0.7404,6.3756,0,7.5555,0,8.6073,7.0302,5.0268,7.6162,1.8652,3.8674,0,0,339,383,0.7465,0.3931,0.0243,0.9667,0.696,0.7025,0.65,214,313,0.2158,0.323,0.1733,0.6117,0.7037,0.0453,0.5858,0.9054
20,tcp,other,SH,41606,68148,0,0.4523,0.7455,3.5847,8.8721,0,2.288,0,0.0695,3.6363,0.5148,2.3764,0.4078,9.3673,0,0,253,365,0.6496,0.892,0.6455,0.9636,0.5701,0.3595,0.702,446,57,0.6229,0.7952,0.1564,0.4196,0.4742,0.3746,0.9402,0.1958
614,udp,domain_u,SH,96276,23483,0,3.2533,9.8689,1.1587,4.7221,0,0.7698,0,5.1075,9.7178,2.7865,7.2822,5.9089,1.3752,0,0,226,337,0.8492,0.6311,0.1771,0.853,0.0972,0.2936,0.7958,341,341,0.0853,0.2708,0.2502,0.2477,0.0978,0.6259,0.5755,0.0694
121,udp,ftp_data,SH,80038,48555,1,3.8868,7.7224,8.631,1.1959,0,2.8975,0,4.1741,9.6245,9.0827,3.6778,6.7756,3.4107,0,0,111,193,0.6576,0.7948,0.9405,0.2944,0.615,0.8094,0.89,50,304,0.0517,0.439,0.5492,0.356,0.4916,0.5031,0.3882,0.1008
